Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.1,1,newton_raphson,inf,60,5.0,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.05,1,newton_raphson,inf,60,5.0,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.01,1,newton_raphson,inf,60,5.0,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.005,1,newton_raphson,inf,60,9.001999999999999,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.001,1,newton_raphson,inf,60,6.999,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.0001,1,newton_raphson,inf,60,5.0,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,1e-05,1,newton_raphson,inf,60,5.0,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,1e-06,1,newton_raphson,inf,60,8.0,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.1,2,newton_raphson,inf,60,5.001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.05,2,newton_raphson,inf,60,7.002000000000001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.01,2,newton_raphson,inf,60,9.001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.005,2,newton_raphson,inf,60,5.002000000000001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.001,2,newton_raphson,inf,60,8.001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.0001,2,newton_raphson,inf,60,6.001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,1e-05,2,newton_raphson,inf,60,8.002,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,1e-06,2,newton_raphson,inf,60,5.001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.1,3,newton_raphson,inf,60,5.002000000000001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.05,3,newton_raphson,inf,60,4.001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.01,3,newton_raphson,inf,60,6.001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.005,3,newton_raphson,inf,60,9.001999999999999,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.001,3,newton_raphson,inf,60,5.001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.0001,3,newton_raphson,inf,60,5.002000000000001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,1e-05,3,newton_raphson,inf,60,10.001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,1e-06,3,newton_raphson,inf,60,6.002000000000001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.1,4,newton_raphson,inf,60,7.001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.05,4,newton_raphson,inf,60,7.001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.01,4,newton_raphson,inf,60,4.001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.005,4,newton_raphson,inf,60,6.001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.001,4,newton_raphson,inf,60,5.001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,0.0001,4,newton_raphson,inf,60,7.0,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,1e-05,4,newton_raphson,inf,60,5.001,No,"No, no convergence"
"pow(abs(x), float(1) / 3) if x > 0 else -pow(abs(x), float(1) / 3)",-1,1,1e-06,4,newton_raphson,inf,60,10.001,No,"No, no convergence"
