Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
(-x) ** 3 + x ** 2 - 3,-2,1,0.1,1,regula_falsi,-1.1361088525126923,6,0.0,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.05,1,regula_falsi,-1.1588053822423674,7,0.0,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.01,1,regula_falsi,-1.1681490605208769,8,3.0010000000000003,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.005,1,regula_falsi,-1.1719584204241615,9,2.0010000000000003,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.001,1,regula_falsi,-1.1741323949617253,11,5.0,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.0001,1,regula_falsi,-1.1745310463922793,14,3.0,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,1e-05,1,regula_falsi,-1.1745547587829062,16,2.0,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,1e-06,1,regula_falsi,-1.1745591013850483,19,3.999,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.1,2,regula_falsi,-1.1681490605208769,8,4.0,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.05,2,regula_falsi,-1.1681490605208769,8,2.0,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.01,2,regula_falsi,-1.173505282962778,10,2.9979999999999998,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.005,2,regula_falsi,-1.1741323949617253,11,5.001,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.001,2,regula_falsi,-1.174489370421156,13,1.001,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.0001,2,regula_falsi,-1.1745479239686765,15,2.0,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,1e-05,2,regula_falsi,-1.1745586474808647,18,1.001,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,1e-06,2,regula_falsi,-1.1745592851978286,20,5.001,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.1,3,regula_falsi,-1.174559359634533,21,3.0,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.05,3,regula_falsi,-1.1745593897783706,22,4.0,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.01,3,regula_falsi,-1.1745594069287477,24,2.0,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.005,3,regula_falsi,-1.1745594069287477,24,0.9990000000000001,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.001,3,regula_falsi,-1.1745594097412726,26,3.0010000000000003,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.0001,3,regula_falsi,-1.1745594102563413,29,1.001,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,1e-05,3,regula_falsi,-1.1745594102869716,31,3.0,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,1e-06,3,regula_falsi,-1.1745594102925812,34,2.0,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.1,4,regula_falsi,-1.174559401985398,23,3.0,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.05,4,regula_falsi,-1.1745594069287477,24,4.001,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.01,4,regula_falsi,-1.1745594089306026,25,2.0,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.005,4,regula_falsi,-1.1745594097412726,26,3.0010000000000003,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.001,4,regula_falsi,-1.1745594102025045,28,4.991,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,0.0001,4,regula_falsi,-1.174559410278143,30,4.0,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,1e-05,4,regula_falsi,-1.174559410291995,33,3.9960000000000004,Yes,No
(-x) ** 3 + x ** 2 - 3,-2,1,1e-06,4,regula_falsi,-1.1745594102929147,36,7.002000000000001,Yes,No
