Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
(-x) ** 3 + x ** 2 - 3,-2,1,0.1,1,regula_falsi,-1.1361088525126923,6,0.0,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.05,1,regula_falsi,-1.1588053822423674,7,0.0,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.01,1,regula_falsi,-1.1681490605208769,8,2.999,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.005,1,regula_falsi,-1.1719584204241615,9,2.0,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.001,1,regula_falsi,-1.1741323949617253,11,1.0,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.0001,1,regula_falsi,-1.1745310463922793,14,3.0010000000000003,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,1e-05,1,regula_falsi,-1.1745547587829062,16,2.0010000000000003,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,1e-06,1,regula_falsi,-1.1745591013850483,19,5.002000000000001,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.1,2,regula_falsi,-1.1681490605208769,8,5.002000000000001,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.05,2,regula_falsi,-1.1681490605208769,8,1.001,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.01,2,regula_falsi,-1.173505282962778,10,3.0010000000000003,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.005,2,regula_falsi,-1.1741323949617253,11,4.001,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.001,2,regula_falsi,-1.174489370421156,13,1.0,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.0001,2,regula_falsi,-1.1745479239686765,15,5.0,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,1e-05,2,regula_falsi,-1.1745586474808647,18,4.0,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,1e-06,2,regula_falsi,-1.1745592851978286,20,4.001,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.1,3,regula_falsi,-1.1361088525126923,6,0.0,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.05,3,regula_falsi,-1.1361088525126923,6,1.001,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.01,3,regula_falsi,-1.1681490605208769,8,2.0010000000000003,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.005,3,regula_falsi,-1.1719584204241615,9,5.002000000000001,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.001,3,regula_falsi,-1.1741323949617253,11,4.001,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.0001,3,regula_falsi,-1.174489370421156,13,1.9989999999999999,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,1e-05,3,regula_falsi,-1.1745547587829062,16,3.0,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,1e-06,3,regula_falsi,-1.1745586474808647,18,0.9990000000000001,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.1,4,regula_falsi,-1.082243054697381,5,1.0,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.05,4,regula_falsi,-1.1361088525126923,6,0.0,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.01,4,regula_falsi,-1.1681490605208769,8,2.0,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.005,4,regula_falsi,-1.1719584204241615,9,3.999,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.001,4,regula_falsi,-1.1741323949617253,11,1.0,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,0.0001,4,regula_falsi,-1.174489370421156,13,2.0010000000000003,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,1e-05,4,regula_falsi,-1.1745547587829062,16,2.0,Yes,Yes
(-x) ** 3 + x ** 2 - 3,-2,1,1e-06,4,regula_falsi,-1.1745586474808647,18,2.0,Yes,Yes
