Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.1,1,newton_raphson,-1.5462003258363377,4,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.05,1,newton_raphson,-1.288444144705483,8,2.999,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.01,1,newton_raphson,-1.2769861162158738,10,1.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.005,1,newton_raphson,-1.2769861162158738,10,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.001,1,newton_raphson,-1.2769861162158738,10,1.001,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.0001,1,newton_raphson,-1.2769839649719836,11,1.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,1e-05,1,newton_raphson,-1.2769839649719836,11,1.001,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,1e-06,1,newton_raphson,-1.2769839649484334,12,1.002,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.1,2,newton_raphson,-1.288444144705483,8,1.001,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.05,2,newton_raphson,-1.288444144705483,8,1.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.01,2,newton_raphson,-1.2776346759334383,9,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.005,2,newton_raphson,-1.2776346759334383,9,0.9990000000000001,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.001,2,newton_raphson,-1.2769861162158738,10,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.0001,2,newton_raphson,-1.2769861162158738,10,1.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,1e-05,2,newton_raphson,-1.2769861162158738,10,2.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,1e-06,2,newton_raphson,-1.2769839649719836,11,2.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.1,3,newton_raphson,-1.5462003258363377,4,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.05,3,newton_raphson,-1.3274308501100298,7,4.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.01,3,newton_raphson,-1.2776346759334383,9,1.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.005,3,newton_raphson,-1.2769861162158738,10,2.527,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.001,3,newton_raphson,-1.2769861162158738,10,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.0001,3,newton_raphson,-1.2769839649719836,11,1.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,1e-05,3,newton_raphson,-1.2769839649719836,11,1.001,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,1e-06,3,newton_raphson,-1.2769839649484334,12,1.002,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.1,4,newton_raphson,-1.0201094665124564,2,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.05,4,newton_raphson,-1.0201094665124564,2,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.01,4,newton_raphson,-1.0201094665124564,2,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.005,4,newton_raphson,-1.0201094665124564,2,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.001,4,newton_raphson,-1.0201094665124564,2,1.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,0.0001,4,newton_raphson,-1.6236469011456438,3,1.001,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,1e-05,4,newton_raphson,-1.6236469011456438,3,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2,3,1e-06,4,newton_raphson,-1.6236469011456438,3,0.0,Yes,No
