Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.1,1,newton_raphson,2.9337527716866694,1,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.05,1,newton_raphson,2.6320598320444066,6,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.01,1,newton_raphson,2.6103807263109546,8,4.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.005,1,newton_raphson,2.6103807263109546,8,5.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.001,1,newton_raphson,2.610317326789099,9,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.0001,1,newton_raphson,2.610317326789099,9,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,1e-05,1,newton_raphson,2.6103172982817724,10,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,1e-06,1,newton_raphson,2.6103172982817724,10,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.1,2,newton_raphson,2.6103807263109546,8,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.05,2,newton_raphson,2.6103807263109546,8,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.01,2,newton_raphson,2.610317326789099,9,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.005,2,newton_raphson,2.610317326789099,9,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.001,2,newton_raphson,2.610317326789099,9,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.0001,2,newton_raphson,2.610317326789099,9,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,1e-05,2,newton_raphson,2.610317326789099,9,1.002,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,1e-06,2,newton_raphson,2.6103172982817724,10,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.1,3,newton_raphson,2.9337527716866694,1,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.05,3,newton_raphson,2.9337527716866694,1,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.01,3,newton_raphson,2.6133315184843178,7,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.005,3,newton_raphson,2.6103807263109546,8,1.9989999999999999,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.001,3,newton_raphson,2.610317326789099,9,2.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.0001,3,newton_raphson,2.610317326789099,9,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,1e-05,3,newton_raphson,2.6103172982817724,10,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,1e-06,3,newton_raphson,2.6103172982817724,10,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.1,4,newton_raphson,2.9337527716866694,1,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.05,4,newton_raphson,2.674344753789539,5,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.01,4,newton_raphson,2.6133315184843178,7,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.005,4,newton_raphson,2.6133315184843178,7,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.001,4,newton_raphson,2.6103807263109546,8,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.0001,4,newton_raphson,2.6103807263109546,8,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,1e-05,4,newton_raphson,2.610317326789099,9,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,1e-06,4,newton_raphson,2.610317326789099,9,0.0,Yes,Yes
