Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.1,1,regula_falsi,2.5014635396380935,1,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.05,1,regula_falsi,2.5014635396380935,1,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.01,1,regula_falsi,2.5014635396380935,1,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.005,1,regula_falsi,2.5014635396380935,1,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.001,1,regula_falsi,2.549162370280714,40,9.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.0001,1,regula_falsi,2.566578219892655,60,8.001,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,1e-05,1,regula_falsi,2.566578219892655,60,10.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,1e-06,1,regula_falsi,2.566578219892655,60,11.001000000000001,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.1,2,regula_falsi,2.566578219892655,60,12.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.05,2,regula_falsi,2.566578219892655,60,8.0,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.01,2,regula_falsi,2.566578219892655,60,9.001,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.005,2,regula_falsi,2.566578219892655,60,11.001999999999999,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.001,2,regula_falsi,2.566578219892655,60,9.001999999999999,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.0001,2,regula_falsi,2.566578219892655,60,11.001999999999999,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,1e-05,2,regula_falsi,2.566578219892655,60,12.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,1e-06,2,regula_falsi,2.566578219892655,60,9.001999999999999,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.1,3,regula_falsi,2.5014635396380935,1,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.05,3,regula_falsi,2.5014635396380935,1,1.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.01,3,regula_falsi,2.5014635396380935,1,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.005,3,regula_falsi,2.5014635396380935,1,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.001,3,regula_falsi,2.5014635396380935,1,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.0001,3,regula_falsi,2.566578219892655,60,10.003,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,1e-05,3,regula_falsi,2.566578219892655,60,7.003,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,1e-06,3,regula_falsi,2.566578219892655,60,9.001999999999999,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.1,4,regula_falsi,2.549162370280714,40,5.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.05,4,regula_falsi,2.566578219892655,60,8.0,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.01,4,regula_falsi,2.566578219892655,60,8.001,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.005,4,regula_falsi,2.566578219892655,60,11.001999999999999,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.001,4,regula_falsi,2.566578219892655,60,11.001999999999999,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,0.0001,4,regula_falsi,2.566578219892655,60,10.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,1e-05,4,regula_falsi,2.566578219892655,60,9.001,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),2.5,3,1e-06,4,regula_falsi,2.566578219892655,60,11.001999999999999,No,"No, no convergence"
