Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.1,1,newton_raphson,-1.4224073494961569,1,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.05,1,newton_raphson,-1.2796707907491487,4,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.01,1,newton_raphson,-1.2770204711698123,5,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.005,1,newton_raphson,-1.2770204711698123,5,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.001,1,newton_raphson,-1.2769839717289684,6,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.0001,1,newton_raphson,-1.2769839717289684,6,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,1e-05,1,newton_raphson,-1.2769839649484338,7,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,1e-06,1,newton_raphson,-1.2769839649484338,7,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.1,2,newton_raphson,-1.3006125176106615,3,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.05,2,newton_raphson,-1.2796707907491487,4,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.01,2,newton_raphson,-1.2796707907491487,4,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.005,2,newton_raphson,-1.2770204711698123,5,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.001,2,newton_raphson,-1.2770204711698123,5,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.0001,2,newton_raphson,-1.2769839717289684,6,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,1e-05,2,newton_raphson,-1.2769839717289684,6,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,1e-06,2,newton_raphson,-1.2769839717289684,6,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.1,3,newton_raphson,-1.2769839649484338,7,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.05,3,newton_raphson,-1.2769839649484338,7,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.01,3,newton_raphson,-1.2769839649484338,7,1.002,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.005,3,newton_raphson,-1.2769839649484336,8,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.001,3,newton_raphson,-1.2769839649484336,8,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.0001,3,newton_raphson,-1.2769839649484336,8,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,1e-05,3,newton_raphson,-1.2769839649484336,8,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,1e-06,3,newton_raphson,-1.2769839649484336,8,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.1,4,newton_raphson,-1.2769839717289684,6,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.05,4,newton_raphson,-1.2769839717289684,6,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.01,4,newton_raphson,-1.2769839649484338,7,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.005,4,newton_raphson,-1.2769839649484338,7,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.001,4,newton_raphson,-1.2769839649484338,7,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.0001,4,newton_raphson,-1.2769839649484338,7,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,1e-05,4,newton_raphson,-1.2769839649484338,7,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,1e-06,4,newton_raphson,-1.2769839649484338,7,0.998,Yes,Yes
