Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.1,1,regula_falsi,-1.0888500159786516,2,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.05,1,regula_falsi,-1.0888500159786516,2,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.01,1,regula_falsi,-1.2440135288146281,10,3.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.005,1,regula_falsi,-1.2609256546298229,13,5.001,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.001,1,regula_falsi,-1.2741379328114502,20,4.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.0001,1,regula_falsi,-1.2766851811705693,29,3.0010000000000003,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,1e-05,1,regula_falsi,-1.276952744227888,38,4.001,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,1e-06,1,regula_falsi,-1.2769807042177812,47,6.001,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.1,2,regula_falsi,-1.2440135288146281,10,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.05,2,regula_falsi,-1.2609256546298229,13,4.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.01,2,regula_falsi,-1.2741379328114502,20,5.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.005,2,regula_falsi,-1.2756395719047415,23,5.002000000000001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.001,2,regula_falsi,-1.2766851811705693,29,6.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.0001,2,regula_falsi,-1.2769596746911744,39,5.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,1e-05,2,regula_falsi,-1.2769814280763079,48,9.001999999999999,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,1e-06,2,regula_falsi,-1.2769837000083653,57,8.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.1,3,regula_falsi,-1.2769836244112247,56,8.002,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.05,3,regula_falsi,-1.2769838045818984,59,11.001999999999999,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.01,3,regula_falsi,-1.2769838401822813,60,10.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.005,3,regula_falsi,-1.2769838401822813,60,7.001,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.001,3,regula_falsi,-1.2769838401822813,60,7.001,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.0001,3,regula_falsi,-1.2769838401822813,60,8.003,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,1e-05,3,regula_falsi,-1.2769838401822813,60,9.001999999999999,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,1e-06,3,regula_falsi,-1.2769838401822813,60,10.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.1,4,regula_falsi,-1.2769838401822813,60,11.001999999999999,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.05,4,regula_falsi,-1.2769838401822813,60,9.001999999999999,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.01,4,regula_falsi,-1.2769838401822813,60,10.001,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.005,4,regula_falsi,-1.2769838401822813,60,13.003,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.001,4,regula_falsi,-1.2769838401822813,60,8.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,0.0001,4,regula_falsi,-1.2769838401822813,60,8.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,1e-05,4,regula_falsi,-1.2769838401822813,60,10.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-1.5,-1,1e-06,4,regula_falsi,-1.2769838401822813,60,8.002,No,"No, no convergence"
