Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.1,1,newton_raphson,-1.9333365616746327,1,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.05,1,newton_raphson,-1.2970326290904977,10,3.0010000000000003,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.01,1,newton_raphson,-1.2770032491728176,12,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.005,1,newton_raphson,-1.2770032491728176,12,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.001,1,newton_raphson,-1.276983966840563,13,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.0001,1,newton_raphson,-1.276983966840563,13,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,1e-05,1,newton_raphson,-1.2769839649484334,14,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,1e-06,1,newton_raphson,-1.2769839649484334,14,2.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.1,2,newton_raphson,-1.2970326290904977,10,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.05,2,newton_raphson,-1.2789351106500841,11,1.9949999999999999,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.01,2,newton_raphson,-1.2789351106500841,11,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.005,2,newton_raphson,-1.2770032491728176,12,2.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.001,2,newton_raphson,-1.2770032491728176,12,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.0001,2,newton_raphson,-1.2770032491728176,12,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,1e-05,2,newton_raphson,-1.276983966840563,13,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,1e-06,2,newton_raphson,-1.276983966840563,13,0.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.1,3,newton_raphson,-1.2769839649484334,14,1.002,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.05,3,newton_raphson,-1.2769839649484334,14,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.01,3,newton_raphson,-1.2769839649484334,14,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.005,3,newton_raphson,-1.2769839649484334,14,2.002,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.001,3,newton_raphson,-1.2769839649484336,15,1.002,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.0001,3,newton_raphson,-1.2769839649484336,15,2.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,1e-05,3,newton_raphson,-1.2769839649484336,15,2.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,1e-06,3,newton_raphson,-1.2769839649484336,15,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.1,4,newton_raphson,-1.276983966840563,13,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.05,4,newton_raphson,-1.276983966840563,13,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.01,4,newton_raphson,-1.276983966840563,13,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.005,4,newton_raphson,-1.2769839649484334,14,1.9989999999999999,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.001,4,newton_raphson,-1.2769839649484334,14,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.0001,4,newton_raphson,-1.2769839649484334,14,1.0,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,1e-05,4,newton_raphson,-1.2769839649484334,14,1.001,Yes,Yes
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,1e-06,4,newton_raphson,-1.2769839649484334,14,2.0,Yes,Yes
