Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.1,1,regula_falsi,-1.0002344796295284,2,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.05,1,regula_falsi,-1.0002344796295284,2,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.01,1,regula_falsi,-1.0002344796295284,2,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.005,1,regula_falsi,-1.0002344796295284,2,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.001,1,regula_falsi,-1.0002344796295284,2,0.0,Yes,No
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.0001,1,regula_falsi,-1.0069743316072604,60,9.001,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,1e-05,1,regula_falsi,-1.0069743316072604,60,8.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,1e-06,1,regula_falsi,-1.0069743316072604,60,11.004,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.1,2,regula_falsi,-1.0069743316072604,60,11.003,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.05,2,regula_falsi,-1.0069743316072604,60,10.005999999999998,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.01,2,regula_falsi,-1.0069743316072604,60,8.001,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.005,2,regula_falsi,-1.0069743316072604,60,9.001999999999999,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.001,2,regula_falsi,-1.0069743316072604,60,8.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.0001,2,regula_falsi,-1.0069743316072604,60,9.003,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,1e-05,2,regula_falsi,-1.0069743316072604,60,8.003,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,1e-06,2,regula_falsi,-1.0069743316072604,60,8.003,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.1,3,regula_falsi,-1.0069743316072604,60,8.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.05,3,regula_falsi,-1.0069743316072604,60,8.003,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.01,3,regula_falsi,-1.0069743316072604,60,9.001999999999999,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.005,3,regula_falsi,-1.0069743316072604,60,8.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.001,3,regula_falsi,-1.0069743316072604,60,9.001,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.0001,3,regula_falsi,-1.0069743316072604,60,11.004,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,1e-05,3,regula_falsi,-1.0069743316072604,60,11.004,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,1e-06,3,regula_falsi,-1.0069743316072604,60,8.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.1,4,regula_falsi,-1.0069743316072604,60,8.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.05,4,regula_falsi,-1.0069743316072604,60,12.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.01,4,regula_falsi,-1.0069743316072604,60,13.003,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.005,4,regula_falsi,-1.0069743316072604,60,11.003,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.001,4,regula_falsi,-1.0069743316072604,60,10.002,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,0.0001,4,regula_falsi,-1.0069743316072604,60,11.001999999999999,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,1e-05,4,regula_falsi,-1.0069743316072604,60,11.003,No,"No, no convergence"
np.exp(3 * x ** 2 - 3 * x - 10) - np.exp(x),-2,-1,1e-06,4,regula_falsi,-1.0069743316072604,60,7.001,No,"No, no convergence"
