Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.1,1,regula_falsi,0.6155604175665357,3,0.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.05,1,regula_falsi,0.6155604175665357,3,0.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.01,1,regula_falsi,0.6097140586681732,4,0.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.005,1,regula_falsi,0.6083532021202986,5,0.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.001,1,regula_falsi,0.6080357204012665,6,0.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.0001,1,regula_falsi,0.6079616118393742,7,3.002,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,1e-05,1,regula_falsi,0.6079402714538952,9,4.001,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,1e-06,1,regula_falsi,0.6079393284353437,10,5.001,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.1,2,regula_falsi,0.6408486403229127,2,1.001,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.05,2,regula_falsi,0.6155604175665357,3,0.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.01,2,regula_falsi,0.6097140586681732,4,0.9990000000000001,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.005,2,regula_falsi,0.6097140586681732,4,0.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.001,2,regula_falsi,0.6080357204012665,6,0.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.0001,2,regula_falsi,0.6079616118393742,7,1.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,1e-05,2,regula_falsi,0.6079402714538952,9,0.9990000000000001,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,1e-06,2,regula_falsi,0.6079393284353437,10,3.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.1,3,regula_falsi,0.6155604175665357,3,0.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.05,3,regula_falsi,0.6155604175665357,3,1.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.01,3,regula_falsi,0.6097140586681732,4,0.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.005,3,regula_falsi,0.6083532021202986,5,0.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.001,3,regula_falsi,0.6080357204012665,6,0.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.0001,3,regula_falsi,0.6079443106631915,8,5.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,1e-05,3,regula_falsi,0.6079402714538952,9,4.001,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,1e-06,3,regula_falsi,0.6079391082720815,11,4.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.1,4,regula_falsi,0.60793905687131,12,2.999,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.05,4,regula_falsi,0.60793905687131,12,3.0,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.01,4,regula_falsi,0.6079390420692596,14,5.001,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.005,4,regula_falsi,0.6079390420692596,14,5.001,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.001,4,regula_falsi,0.6079390414151598,15,4.001,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,0.0001,4,regula_falsi,0.6079390412267964,17,5.002000000000001,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,1e-05,4,regula_falsi,0.6079390412184728,18,5.001,Yes,Yes
np.log(x ** 3 - x ** 2 + 1 / x - 1.0 / 2),0.2,1,1e-06,4,regula_falsi,0.6079390412160757,20,2.0010000000000003,Yes,Yes
