Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
2 * (x - 2) ** 2 - 10,-1,2,0.1,1,newton_raphson,-0.2380952379997937,2,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.05,1,newton_raphson,-0.23606889564330236,3,3.0010000000000003,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.01,1,newton_raphson,-0.23606889564330236,3,2.0010000000000003,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.005,1,newton_raphson,-0.23606889564330236,3,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.001,1,newton_raphson,-0.23606797749997877,4,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.0001,1,newton_raphson,-0.23606797749997877,4,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,1e-05,1,newton_raphson,-0.23606797749997877,4,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,1e-06,1,newton_raphson,-0.23606797749997877,4,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.1,2,newton_raphson,-0.2380952379997937,2,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.05,2,newton_raphson,-0.2380952379997937,2,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.01,2,newton_raphson,-0.23606889564330236,3,3.0010000000000003,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.005,2,newton_raphson,-0.23606889564330236,3,1.001,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.001,2,newton_raphson,-0.23606889564330236,3,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.0001,2,newton_raphson,-0.23606889564330236,3,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,1e-05,2,newton_raphson,-0.23606889564330236,3,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,1e-06,2,newton_raphson,-0.23606797749997877,4,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.1,3,newton_raphson,-0.2360679774997895,5,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.05,3,newton_raphson,-0.2360679774997895,5,1.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.01,3,newton_raphson,-0.2360679774997895,5,1.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.005,3,newton_raphson,-0.2360679774997895,5,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.001,3,newton_raphson,-0.2360679774997895,5,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.0001,3,newton_raphson,-0.2360679774997895,5,1.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,1e-05,3,newton_raphson,-0.2360679774997895,5,1.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,1e-06,3,newton_raphson,-0.2360679774997895,5,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.1,4,newton_raphson,-0.23606797749997877,4,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.05,4,newton_raphson,-0.23606797749997877,4,0.9990000000000001,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.01,4,newton_raphson,-0.23606797749997877,4,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.005,4,newton_raphson,-0.23606797749997877,4,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.001,4,newton_raphson,-0.23606797749997877,4,1.001,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.0001,4,newton_raphson,-0.23606797749997877,4,1.001,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,1e-05,4,newton_raphson,-0.23606797749997877,4,1.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,1e-06,4,newton_raphson,-0.2360679774997895,5,0.0,Yes,Yes
