Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
2 * (x - 2) ** 2 - 10,-1,2,0.1,1,regula_falsi,-0.22222222222222227,3,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.05,1,regula_falsi,-0.23404255319148928,4,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.01,1,regula_falsi,-0.23577235772357738,5,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.005,1,regula_falsi,-0.23577235772357738,5,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.001,1,regula_falsi,-0.23602484472049692,6,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.0001,1,regula_falsi,-0.23606168446026077,7,1.001,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,1e-05,1,regula_falsi,-0.23606705935659264,8,0.998,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,1e-06,1,regula_falsi,-0.23606784354447902,9,1.9989999999999999,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.1,2,regula_falsi,-0.23404255319148928,4,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.05,2,regula_falsi,-0.23404255319148928,4,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.01,2,regula_falsi,-0.23577235772357738,5,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.005,2,regula_falsi,-0.23577235772357738,5,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.001,2,regula_falsi,-0.23602484472049692,6,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.0001,2,regula_falsi,-0.23606168446026077,7,0.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,1e-05,2,regula_falsi,-0.23606705935659264,8,4.002000000000001,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,1e-06,2,regula_falsi,-0.23606795795597274,10,3.0010000000000003,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.1,3,regula_falsi,-0.2360679746483854,11,5.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.05,3,regula_falsi,-0.2360679746483854,11,3.0010000000000003,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.01,3,regula_falsi,-0.23606797708377547,12,1.002,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.005,3,regula_falsi,-0.23606797708377547,12,3.0010000000000003,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.001,3,regula_falsi,-0.23606797743909397,13,2.002,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.0001,3,regula_falsi,-0.23606797749093436,14,3.0010000000000003,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,1e-05,3,regula_falsi,-0.23606797749849787,15,5.001,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,1e-06,3,regula_falsi,-0.23606797749976227,17,3.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.1,4,regula_falsi,-0.2360679746483854,11,5.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.05,4,regula_falsi,-0.2360679746483854,11,1.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.01,4,regula_falsi,-0.23606797708377547,12,4.001,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.005,4,regula_falsi,-0.23606797708377547,12,1.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.001,4,regula_falsi,-0.23606797743909397,13,4.0,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,0.0001,4,regula_falsi,-0.23606797749093436,14,3.999,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,1e-05,4,regula_falsi,-0.23606797749960112,16,2.0010000000000003,Yes,Yes
2 * (x - 2) ** 2 - 10,-1,2,1e-06,4,regula_falsi,-0.23606797749976227,17,2.0010000000000003,Yes,Yes
