Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.1,1,newton_raphson,0.6917159683987218,0,0.0,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.05,1,newton_raphson,0.6917159683987218,0,0.0,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.01,1,newton_raphson,0.6917159683987218,0,0.0,Yes,No
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.005,1,newton_raphson,0.6737904902010017,3,0.0,Yes,No
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.001,1,newton_raphson,0.6648463787367592,8,0.0,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.0001,1,newton_raphson,0.6639838782944214,12,2.0,Yes,No
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,1e-05,1,newton_raphson,0.6638591231940048,17,1.004,Yes,No
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,1e-06,1,newton_raphson,0.6638496348278485,21,5.0,Yes,No
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.1,2,newton_raphson,0.6680372195590124,5,0.0,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.05,2,newton_raphson,0.6654756094846198,7,0.0,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.01,2,newton_raphson,0.6642179871635491,10,1.0,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.005,2,newton_raphson,0.6639838782944214,12,1.001,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.001,2,newton_raphson,0.6638781626429722,15,2.0,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.0001,2,newton_raphson,0.6638521718017409,19,1.001,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,1e-05,2,newton_raphson,0.6638484984819097,24,2.002,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,1e-06,2,newton_raphson,0.6638482199827258,28,4.0,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.1,3,newton_raphson,0.6917159683987218,0,0.0,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.05,3,newton_raphson,0.6917159683987218,0,0.0,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.01,3,newton_raphson,0.6784479666723398,2,0.0,Yes,No
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.005,3,newton_raphson,0.6680372195590124,5,1.03,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.001,3,newton_raphson,0.6648463787367592,8,1.0,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.0001,3,newton_raphson,0.66393025370157,13,1.0,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,1e-05,3,newton_raphson,0.6638547898153813,18,0.9990000000000001,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,1e-06,3,newton_raphson,0.663849057695245,22,2.002,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.1,4,newton_raphson,0.6917159683987218,0,0.0,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.05,4,newton_raphson,0.6917159683987218,0,0.0,Yes,Yes
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.01,4,newton_raphson,0.6917159683987218,0,0.0,Yes,No
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.005,4,newton_raphson,0.6784479666723398,2,0.0,Yes,No
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.001,4,newton_raphson,0.6654756094846198,7,1.0,Yes,No
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,0.0001,4,newton_raphson,0.6640723493379266,11,1.0,Yes,No
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,1e-05,4,newton_raphson,0.6638662950831828,16,2.0,Yes,No
1/(x**2) - 1/(x**3) + 1/(x**4) - 4,0.3,0.7,1e-06,4,newton_raphson,0.6638505902322128,20,3.0,Yes,No
