Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.1,1,newton_raphson,-0.8924469633875515,2,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.05,1,newton_raphson,-0.9087958470829497,3,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.01,1,newton_raphson,-0.9094680597389777,4,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.005,1,newton_raphson,-0.9094680597389777,4,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.001,1,newton_raphson,-0.9094680597389777,4,1.002,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.0001,1,newton_raphson,-0.9094691258015557,5,1.002,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,1e-05,1,newton_raphson,-0.9094691258015557,5,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,1e-06,1,newton_raphson,-0.9094691258042292,6,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.1,2,newton_raphson,-0.9087958470829497,3,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.05,2,newton_raphson,-0.9087958470829497,3,1.001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.01,2,newton_raphson,-0.9087958470829497,3,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.005,2,newton_raphson,-0.9094680597389777,4,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.001,2,newton_raphson,-0.9094680597389777,4,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.0001,2,newton_raphson,-0.9094680597389777,4,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,1e-05,2,newton_raphson,-0.9094691258015557,5,1.001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,1e-06,2,newton_raphson,-0.9094691258015557,5,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.1,3,newton_raphson,-0.9094691258042292,6,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.05,3,newton_raphson,-0.9094691258042292,6,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.01,3,newton_raphson,-0.9094691258042292,6,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.005,3,newton_raphson,-0.9094691258042292,6,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.001,3,newton_raphson,-0.9094691258042292,6,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.0001,3,newton_raphson,-0.9094691258042292,6,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,1e-05,3,newton_raphson,-0.9094691258042292,6,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,1e-06,3,newton_raphson,-0.9094691258042293,7,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.1,4,newton_raphson,-0.8215706215180982,1,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.05,4,newton_raphson,-0.8924469633875515,2,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.01,4,newton_raphson,-0.9087958470829497,3,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.005,4,newton_raphson,-0.9087958470829497,3,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.001,4,newton_raphson,-0.9087958470829497,3,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.0001,4,newton_raphson,-0.9094680597389777,4,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,1e-05,4,newton_raphson,-0.9094680597389777,4,1.002,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,1e-06,4,newton_raphson,-0.9094691258015557,5,1.001,Yes,Yes
