Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.1,1,regula_falsi,32.05920787244881,4,0.0,Yes,Yes
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.05,1,regula_falsi,32.05920787244881,4,0.0,Yes,Yes
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.01,1,regula_falsi,32.05576128089619,5,0.0,Yes,Yes
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.005,1,regula_falsi,32.05576128089619,5,0.0,Yes,Yes
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.001,1,regula_falsi,32.05523495320005,6,0.0,Yes,Yes
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.0001,1,regula_falsi,32.055154575648594,7,0.0,Yes,Yes
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,1e-05,1,regula_falsi,32.05514042628244,9,1.0,Yes,Yes
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,1e-06,1,regula_falsi,32.055140140011936,10,1.0,Yes,Yes
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.1,2,regula_falsi,33.208073250035085,1,0.0,Yes,No
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.05,2,regula_falsi,33.208073250035085,1,0.0,Yes,No
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.01,2,regula_falsi,32.22980697398062,2,0.0,Yes,No
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.005,2,regula_falsi,32.081781581500366,3,0.0,Yes,No
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.001,2,regula_falsi,32.081781581500366,3,0.0,Yes,No
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.0001,2,regula_falsi,32.05576128089619,5,0.0,Yes,No
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,1e-05,2,regula_falsi,32.05523495320005,6,1.0,Yes,No
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,1e-06,2,regula_falsi,32.055154575648594,7,0.0,Yes,No
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.1,3,regula_falsi,32.22980697398062,2,0.0,Yes,No
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.05,3,regula_falsi,32.22980697398062,2,0.0,Yes,No
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.01,3,regula_falsi,32.081781581500366,3,0.0,Yes,No
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.005,3,regula_falsi,32.081781581500366,3,0.0,Yes,No
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.001,3,regula_falsi,32.05920787244881,4,0.0,Yes,No
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.0001,3,regula_falsi,32.05523495320005,6,0.0,Yes,Yes
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,1e-05,3,regula_falsi,32.055154575648594,7,0.0,Yes,No
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,1e-06,3,regula_falsi,32.05514230082739,8,2.0010000000000003,Yes,No
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.1,4,regula_falsi,32.081781581500366,3,0.0,Yes,Yes
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.05,4,regula_falsi,32.081781581500366,3,0.0,Yes,Yes
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.01,4,regula_falsi,32.05920787244881,4,0.0,Yes,Yes
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.005,4,regula_falsi,32.05920787244881,4,0.0,Yes,Yes
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.001,4,regula_falsi,32.05576128089619,5,0.0,Yes,Yes
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,0.0001,4,regula_falsi,32.05523495320005,6,0.0,Yes,Yes
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,1e-05,4,regula_falsi,32.05514230082739,8,1.001,Yes,Yes
"pow(x, (1.0 / 3)) - (1 / pow(x, (1.0 / 2))) - 3",20,40,1e-06,4,regula_falsi,32.05514042628244,9,1.001,Yes,Yes
