Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence
x ** 3 - 3 * x ** 2 + 2,-1,4,0.01,1,newton_raphson,-0.7323079604365516,3,4.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.01,2,newton_raphson,-0.7323079604365516,3,2.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.01,3,newton_raphson,-0.7323079604365516,3,2.978,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.01,4,newton_raphson,-0.7338390315715744,2,0.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.001,1,newton_raphson,-0.7320875787454156,4,0.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.001,2,newton_raphson,-0.7320875787454156,4,0.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.001,3,newton_raphson,-0.7320875787454156,4,0.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.001,4,newton_raphson,-0.7323079604365516,3,2.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-05,1,newton_raphson,-0.7320515581180996,6,0.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-05,2,newton_raphson,-0.7320515581180996,6,0.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-05,3,newton_raphson,-0.7320515581180996,6,0.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-05,4,newton_raphson,-0.7320560613109893,5,0.9990000000000001,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-10,1,newton_raphson,-0.7320508075752569,12,2.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-10,2,newton_raphson,-0.7320508075752569,12,1.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-10,3,newton_raphson,-0.7320508075752569,12,1.001,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-10,4,newton_raphson,-0.7320508076135344,11,2.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-20,1,newton_raphson,-0.7320508075688773,19,1.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-20,2,newton_raphson,-0.7320508075688773,18,1.001,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-20,3,newton_raphson,-0.7320508075688773,19,1.001,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-20,4,newton_raphson,-0.7320508075688773,18,1.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-30,1,newton_raphson,-0.7320508075688773,19,1.001,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-30,2,newton_raphson,-0.7320508075688773,18,1.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-30,3,newton_raphson,-0.7320508075688773,19,1.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-30,4,newton_raphson,-0.7320508075688773,18,2.999,Yes
