Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.1,1,newton_raphson,2.176182557128062,23,4.001,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.05,1,newton_raphson,2.145176961458728,24,2.999,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.01,1,newton_raphson,2.137702323751848,25,2.999,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.005,1,newton_raphson,2.1368629285954843,26,3.9979999999999998,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.001,1,newton_raphson,2.1368629285954843,26,3.0010000000000003,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.0001,1,newton_raphson,2.136851417164889,27,4.001,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,1e-05,1,newton_raphson,2.136851414987547,28,3.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,1e-06,1,newton_raphson,2.136851414987547,28,3.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.1,2,newton_raphson,2.145176961458728,24,1.002,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.05,2,newton_raphson,2.137702323751848,25,2.999,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.01,2,newton_raphson,2.137702323751848,25,3.0010000000000003,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.005,2,newton_raphson,2.1368629285954843,26,3.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.001,2,newton_raphson,2.1368629285954843,26,2.0010000000000003,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.0001,2,newton_raphson,2.1368629285954843,26,3.0010000000000003,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,1e-05,2,newton_raphson,2.136851417164889,27,2.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,1e-06,2,newton_raphson,2.136851417164889,27,3.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.1,3,newton_raphson,2.114838728119353,22,4.002000000000001,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.05,3,newton_raphson,2.176182557128062,23,1.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.01,3,newton_raphson,2.137702323751848,25,3.0010000000000003,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.005,3,newton_raphson,2.137702323751848,25,2.0010000000000003,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.001,3,newton_raphson,2.1368629285954843,26,2.002,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.0001,3,newton_raphson,2.136851417164889,27,2.002,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,1e-05,3,newton_raphson,2.136851417164889,27,2.0010000000000003,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,1e-06,3,newton_raphson,2.136851414987547,28,4.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.1,4,newton_raphson,2.114838728119353,22,2.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.05,4,newton_raphson,2.176182557128062,23,3.0010000000000003,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.01,4,newton_raphson,2.145176961458728,24,2.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.005,4,newton_raphson,2.137702323751848,25,3.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.001,4,newton_raphson,2.137702323751848,25,3.9979999999999998,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.0001,4,newton_raphson,2.1368629285954843,26,3.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,1e-05,4,newton_raphson,2.136851417164889,27,2.0010000000000003,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,1e-06,4,newton_raphson,2.136851417164889,27,3.0,Yes,No
