Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.1,1,regula_falsi,0.5605650858173139,1,0.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.05,1,regula_falsi,0.7198656432618303,4,0.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.01,1,regula_falsi,0.7680221220224707,7,1.001,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.005,1,regula_falsi,0.771070249562074,8,2.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.001,1,regula_falsi,0.7729465884042789,10,4.001,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.0001,1,regula_falsi,0.7732835363943361,12,6.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,1e-05,1,regula_falsi,0.7733508872189108,15,4.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,1e-06,1,regula_falsi,0.7733559173906324,18,5.002000000000001,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.1,2,regula_falsi,0.7468021971686806,5,0.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.05,2,regula_falsi,0.7611830266981156,6,0.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.01,2,regula_falsi,0.771070249562074,8,5.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.005,2,regula_falsi,0.772386381321533,9,0.9990000000000001,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.001,2,regula_falsi,0.7731835607175523,11,1.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.0001,2,regula_falsi,0.7733434137535998,14,4.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,1e-05,2,regula_falsi,0.773354034253293,16,5.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,1e-06,2,regula_falsi,0.773356152342001,19,3.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.1,3,regula_falsi,0.6216894673489434,2,0.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.05,3,regula_falsi,0.7468021971686806,5,0.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.01,3,regula_falsi,0.7680221220224707,7,0.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.005,3,regula_falsi,0.771070249562074,8,2.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.001,3,regula_falsi,0.7729465884042789,10,1.9989999999999999,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.0001,3,regula_falsi,0.7733256675283257,13,1.9989999999999999,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,1e-05,3,regula_falsi,0.7733508872189108,15,4.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,1e-06,3,regula_falsi,0.7733559173906324,18,1.001,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.1,4,regula_falsi,0.7680221220224707,7,1.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.05,4,regula_falsi,0.771070249562074,8,5.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.01,4,regula_falsi,0.7729465884042789,10,5.001,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.005,4,regula_falsi,0.7731835607175523,11,1.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.001,4,regula_falsi,0.7733256675283257,13,1.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,0.0001,4,regula_falsi,0.773354034253293,16,3.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,1e-05,4,regula_falsi,0.7733559173906324,18,4.001,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.5,1,1e-06,4,regula_falsi,0.7733562929295397,21,5.0,Yes,No
